,X,LandUse,Total.Taxes.Owed,Num.Open.Violations,AssessedValue,VacantBuilding,ZIP,WaterService,YearBuilt,newaddress,Total_crimes,Occupied_Pr,Vacant_Pr,H_.1.3.P,H.4..P,Owner_Occupied,VacancyStatus_A
994,994,Single Family,0,0,Cheap,N,Syracuse,A,Old,150 east av,2,0.955,0.045,0.761,0.194,0.859,0.333
995,995,Single Family,0,0,Cheap,N,Syracuse,A,Old,140 east av,2,0.955,0.045,0.761,0.194,0.859,0.333
996,996,Single Family,0,0,Moderate,N,Syracuse,A,Old,147 east av,2,0.955,0.045,0.761,0.194,0.859,0.333
997,997,Single Family,0,0,Cheap,N,Syracuse,A,Old,144 east av,2,0.955,0.045,0.761,0.194,0.859,0.333
998,998,Single Family,0,0,Cheap,N,Syracuse,A,Old,137 east av,2,0.955,0.045,0.761,0.194,0.859,0.333
999,999,Two Family,0,0,Cheap,N,Syracuse,A,Old,115 eastman av,1,0.706,0.294,0.677,0.029,0.458,0.1
1000,1000,Single Family,0,0,Cheap,N,Syracuse,A,Old,107 eastman av,1,0.706,0.294,0.677,0.029,0.458,0.1
1001,1001,Single Family,0,0,Cheap,N,Syracuse,A,Old,111 eastman av,1,0.706,0.294,0.677,0.029,0.458,0.1
1002,1002,Two Family,0,0,Cheap,N,"Outside Syr, In NY",A,Old,114 eastman av,1,0.706,0.294,0.677,0.029,0.458,0.1
1003,1003,Two Family,0,0,Cheap,N,"Outside Syr, In NY",A,Old,112 eastman av,1,0.706,0.294,0.677,0.029,0.458,0.1
1004,1004,Single Family,0,0,Cheap,N,"Outside Syr, In NY",A,Old,110 eastman av,1,0.706,0.294,0.677,0.029,0.458,0.1
1005,1005,Single Family,0,0,Cheap,N,Syracuse,A,Old,106 eastman av,1,0.706,0.294,0.677,0.029,0.458,0.1
1006,1006,Commercial,10906.4,6,Cheap,Y,Syracuse,I,Old,105 eastman av,1,0.706,0.294,0.677,0.029,0.458,0.1
1007,1007,Commercial,4040.44,0,Moderate,N,Syracuse,A,New,123 edison st,1,0.897,0.103,0.793,0.102,0.808,0
1008,1008,Commercial,0,0,Cheap,N,Syracuse,A,Old,147 edison st,1,0.831,0.169,0.545666667,0.285333333,0.44,0.055666667
1009,1009,Vacant Land,1279.89,0,Cheap,N,Syracuse,unknown,New,151 edison st,1,0.868470747,0.131529253,0.788456999,0.079765681,0.352201578,0.048458275
1010,1010,Commercial,5751.05,0,Cheap,Y,Syracuse,A,Old,155 edison st,1,0.813252404,0.186747596,0.617750551,0.195834479,0.495965866,0
1011,1011,Commercial,0,0,Moderate,N,Syracuse,A,New,127 edison st,1,0.897,0.103,0.793,0.102,0.808,0
1012,1012,Religious,0,0,Moderate,N,Syracuse,A,Old,102 edmund av,2,0.932,0.068,0.704,0.227,0.634,0.333
1013,1013,Single Family,0,0,Cheap,N,Syracuse,A,Old,108 elk st,1,0.819,0.181,0.675,0.144,0.412,0
1014,1014,Single Family,1303.57,0,Cheap,N,Syracuse,A,Old,104 elk st,1,0.819,0.181,0.675,0.144,0.412,0
1015,1015,Two Family,0,0,Cheap,N,Outside NY,A,Very Old,101 elk st,1,0.819,0.181,0.675,0.144,0.412,0
1016,1016,Single Family,0,2,Cheap,N,Syracuse,I,Old,110 elk st,1,0.819,0.181,0.675,0.144,0.412,0
1017,1017,Single Family,0,1,Cheap,Y,Syracuse,A,Very Old,103 elk st,1,0.819,0.181,0.675,0.144,0.412,0
1018,1018,Single Family,686.24,0,Cheap,N,Syracuse,A,Old,100 elk st,1,0.819,0.181,0.675,0.144,0.412,0
1019,1019,Vacant Land,1494.62,0,Cheap,N,Syracuse,unknown,New,107 elk st,1,0.819,0.181,0.675,0.144,0.412,0
1020,1020,Two Family,0,0,Cheap,N,Syracuse,A,Old,116 elk st,1,0.819,0.181,0.675,0.144,0.412,0
1021,1021,Single Family,0,0,Cheap,Y,Syracuse,I,New,118 elk st,1,0.819,0.181,0.675,0.144,0.412,0
1022,1022,Single Family,0,0,Cheap,N,Syracuse,A,Old,114 elk st,1,0.819,0.181,0.675,0.144,0.412,0
1023,1023,Single Family,3877.39,0,Cheap,N,Syracuse,A,Very Old,109 elk st,1,0.819,0.181,0.675,0.144,0.412,0
1024,1024,Single Family,0,0,Cheap,N,Syracuse,A,Old,106 elk st,1,0.819,0.181,0.675,0.144,0.412,0
1025,1025,Single Family,0,0,Cheap,Y,Syracuse,I,Old,102 elk st,1,0.819,0.181,0.675,0.144,0.412,0
1026,1026,Two Family,0,0,Cheap,N,Syracuse,A,Very Old,111 elk st,1,0.819,0.181,0.675,0.144,0.412,0
1027,1027,Two Family,0,11,Cheap,N,Syracuse,I,Old,112 elk st,1,0.819,0.181,0.675,0.144,0.412,0
1028,1028,Three Family,0,0,Cheap,N,Syracuse,A,Old,113 elk st,1,0.819,0.181,0.675,0.144,0.412,0
1029,1029,Single Family,0,0,Cheap,N,"Outside Syr, In NY",A,Very Old,101 elliott st,1,0.729,0.271,0.522,0.208,0.286,0
1030,1030,Single Family,0,0,Cheap,N,Syracuse,A,Old,111 elliott st,1,0.729,0.271,0.522,0.208,0.286,0
1031,1031,Two Family,27132.9,10,Cheap,Y,Syracuse,A,Old,115 elliott st,1,0.729,0.271,0.522,0.208,0.286,0
1032,1032,Two Family,25726.07,0,Cheap,N,Syracuse,I,Old,113 elliott st,1,0.729,0.271,0.522,0.208,0.286,0
1033,1033,Vacant Land,16100.71,0,Cheap,N,Outside NY,unknown,New,107 elliott st,1,0.729,0.271,0.522,0.208,0.286,0
1034,1034,Two Family,0,5,Cheap,N,Syracuse,A,Old,105 elliott st,1,0.729,0.271,0.522,0.208,0.286,0
1035,1035,Vacant Land,0,0,Cheap,N,"Outside Syr, In NY",unknown,New,103 elliott st,1,0.729,0.271,0.522,0.208,0.286,0
1036,1036,Two Family,0,1,Cheap,N,Syracuse,A,Old,114 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1037,1037,Single Family,0,0,Cheap,N,Syracuse,A,Old,111 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1038,1038,Vacant Land,0,0,Cheap,N,Syracuse,unknown,New,110 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1039,1039,Vacant Land,0,0,Cheap,N,Syracuse,unknown,New,107 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1040,1040,Single Family,0,0,Cheap,N,Syracuse,A,Old,124 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1041,1041,Apartment,0,9,Cheap,N,Outside NY,A,Old,138 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1042,1042,Single Family,4946.9,7,Cheap,Y,"Outside Syr, In NY",I,Old,102 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1043,1043,Vacant Land,0,0,Cheap,N,Syracuse,unknown,New,113 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1044,1044,Vacant Land,1614.78,0,Cheap,N,Syracuse,unknown,New,100 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1045,1045,Single Family,0,0,Cheap,N,Syracuse,A,Very Old,109 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1046,1046,Single Family,0,0,Cheap,N,Syracuse,A,Old,106 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1047,1047,Single Family,0,0,Cheap,N,"Outside Syr, In NY",I,Old,115 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1048,1048,Two Family,0,0,Cheap,N,Syracuse,A,Old,134 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1049,1049,Single Family,0,0,Cheap,N,Syracuse,A,Old,126 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1050,1050,Two Family,0,0,Cheap,N,"Outside Syr, In NY",A,Very Old,137 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1051,1051,Single Family,0,6,Cheap,Y,Syracuse,I,Old,125 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1052,1052,Single Family,0,0,Cheap,N,Syracuse,A,Very Old,129 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1053,1053,Two Family,0,0,Cheap,N,Syracuse,A,Old,136 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1054,1054,Single Family,2784.48,0,Cheap,Y,Syracuse,I,Very Old,119 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1055,1055,Single Family,0,0,Cheap,N,Syracuse,A,Old,132 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1056,1056,Vacant Land,6714.92,0,Cheap,N,Syracuse,unknown,New,108 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1057,1057,Vacant Land,0,0,Cheap,N,Syracuse,unknown,New,130 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1058,1058,Single Family,0,0,Cheap,N,Syracuse,A,Old,128 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1059,1059,Single Family,0,0,Cheap,N,Syracuse,A,Very Old,139 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1060,1060,Single Family,0,0,Cheap,N,Syracuse,A,Old,117 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1061,1061,Single Family,991.6,0,Cheap,N,Syracuse,I,Old,104 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1062,1062,Single Family,0,0,Cheap,N,Syracuse,A,Old,123 elmhurst av,4,0.795,0.205,0.5,0.296,0.6,0.111
1063,1063,Single Family,0,0,Cheap,N,Syracuse,A,Old,102 elsner st,1,0.83,0.17,0.553,0.277,0.359,0
1064,1064,Single Family,0,0,Cheap,N,Syracuse,A,Old,101 elsner st,1,0.83,0.17,0.553,0.277,0.359,0
1065,1065,Two Family,0,0,Moderate,N,Syracuse,A,Old,105 elsner st,1,0.83,0.17,0.553,0.277,0.359,0
1066,1066,Single Family,0,0,Cheap,N,Syracuse,A,Old,100 elsner st,1,0.83,0.17,0.553,0.277,0.359,0
1067,1067,Two Family,0,0,Cheap,N,Syracuse,A,Old,103 emerson av,2,0.905,0.095,0.762,0.143,0.368,0
1068,1068,Multiple Residence,0,0,Moderate,N,Syracuse,A,New,109 emerson av,2,0.905,0.095,0.762,0.143,0.368,0
1069,1069,Single Family,0,0,Cheap,N,"Outside Syr, In NY",A,Old,119 emerson av,2,0.905,0.095,0.762,0.143,0.368,0
1070,1070,Two Family,0,0,Cheap,N,Syracuse,A,Old,112 emerson av,2,0.905,0.095,0.762,0.143,0.368,0
1071,1071,Two Family,0,0,Cheap,N,Syracuse,A,Old,111 emerson av,2,0.905,0.095,0.762,0.143,0.368,0
1072,1072,Single Family,0,0,Cheap,N,Syracuse,A,Very Old,104 emerson av,2,0.905,0.095,0.762,0.143,0.368,0
1073,1073,Single Family,0,0,Cheap,N,Syracuse,A,Old,108 emerson av,2,0.905,0.095,0.762,0.143,0.368,0
1074,1074,Two Family,0,0,Moderate,N,Syracuse,A,Old,105 emerson av,2,0.905,0.095,0.762,0.143,0.368,0
1075,1075,Single Family,0,0,Cheap,N,Syracuse,A,Old,106 emerson av,2,0.905,0.095,0.762,0.143,0.368,0
1076,1076,Single Family,0,0,Cheap,N,Syracuse,A,Old,110 emerson av,2,0.905,0.095,0.762,0.143,0.368,0
1077,1077,Two Family,0,0,Cheap,N,Syracuse,A,Old,107 emerson av,2,0.905,0.095,0.762,0.143,0.368,0
1078,1078,Single Family,344.84,0,Cheap,N,Syracuse,A,Very Old,115 emerson av,2,0.905,0.095,0.762,0.143,0.368,0
1079,1079,Single Family,0,0,Cheap,N,"Outside Syr, In NY",A,Old,101 emerson av,2,0.905,0.095,0.762,0.143,0.368,0
1080,1080,Single Family,0,0,Cheap,N,Syracuse,A,Old,112 erickson st,1,1,0,0.955,0.046,0.25,0
1081,1081,Single Family,0,0,Cheap,N,Syracuse,A,Old,121 erickson st,1,1,0,0.955,0.046,0.25,0
1082,1082,Single Family,0,0,Cheap,N,Syracuse,A,Old,153 erickson st,1,1,0,0.955,0.046,0.25,0
1083,1083,Single Family,0,0,Cheap,N,Syracuse,A,Old,159 erickson st,1,1,0,0.955,0.046,0.25,0
1084,1084,Single Family,0,0,Moderate,N,Syracuse,A,Old,142 erickson st,1,1,0,0.955,0.046,0.25,0
1085,1085,Single Family,0,5,Cheap,Y,Syracuse,I,Old,146 erickson st,1,1,0,0.955,0.046,0.25,0
1086,1086,Single Family,0,0,Cheap,N,Syracuse,A,Old,154 erickson st,1,1,0,0.955,0.046,0.25,0
1087,1087,Single Family,1872.72,0,Cheap,N,Syracuse,A,Old,158 erickson st,1,1,0,0.955,0.046,0.25,0
1088,1088,Single Family,0,0,Moderate,N,Syracuse,A,Old,127 erickson st,1,1,0,0.955,0.046,0.25,0
1089,1089,Single Family,0,0,Cheap,Y,Syracuse,A,Old,138 erickson st,1,1,0,0.955,0.046,0.25,0.103874
1090,1090,Single Family,0,0,Moderate,N,Syracuse,A,New,135 erickson st,1,1,0,0.955,0.046,0.25,0.103874
1091,1091,Single Family,0,0,Cheap,N,Syracuse,A,Old,131 erickson st,1,1,0,0.955,0.046,0.25,0
1092,1092,Single Family,0,0,Cheap,N,Syracuse,A,Old,143 erickson st,1,1,0,0.955,0.046,0.25,0
1093,1093,Single Family,0,0,Moderate,N,Syracuse,A,New,130 erickson st,1,1,0,0.955,0.046,0.25,0.103874
1094,1094,Single Family,0,0,Cheap,N,Syracuse,A,Old,147 erickson st,1,1,0,0.955,0.046,0.25,0
1095,1095,Single Family,0,0,Cheap,N,Syracuse,A,Old,117 erickson st,1,1,0,0.955,0.046,0.25,0
1096,1096,Single Family,0,0,Cheap,N,Syracuse,A,Old,116 erickson st,1,1,0,0.955,0.046,0.25,0
1097,1097,Single Family,0,0,Cheap,N,Syracuse,A,Old,139 erickson st,1,1,0,0.955,0.046,0.25,0
1098,1098,Single Family,0,0,Cheap,N,Syracuse,A,Old,150 erickson st,1,1,0,0.955,0.046,0.25,0
1099,1099,Single Family,0,0,Cheap,N,Syracuse,A,Old,126 erickson st,1,1,0,0.955,0.046,0.25,0
1100,1100,Single Family,0,0,Moderate,N,Syracuse,A,New,113 erickson st,1,1,0,0.955,0.046,0.25,0.103874
1101,1101,Single Family,0,0,Moderate,N,Syracuse,A,Old,134 erickson st,1,1,0,0.955,0.046,0.25,0
1102,1102,Single Family,24913.99,2,Cheap,Y,Outside NY,I,Old,122 erickson st,1,1,0,0.955,0.046,0.25,0.020917606
1103,1103,Single Family,5764.49,0,Cheap,N,Syracuse,A,Old,121 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1104,1104,Two Family,0,2,Cheap,N,"Outside Syr, In NY",A,Old,110 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1105,1105,Two Family,378.44,0,Cheap,N,Syracuse,A,Old,127 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1106,1106,Vacant Land,0,0,Cheap,N,Outside NY,unknown,New,103 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1107,1107,Single Family,0,0,Cheap,N,"Outside Syr, In NY",A,Old,128 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1108,1108,Single Family,0,0,Cheap,N,Syracuse,A,Old,118 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1109,1109,Single Family,0,0,Cheap,N,Syracuse,A,Old,119 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1110,1110,Two Family,0,0,Cheap,N,Syracuse,A,Old,106 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1111,1111,Single Family,485.37,0,Cheap,N,Syracuse,A,Old,131 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1112,1112,Single Family,0,0,Cheap,N,Syracuse,A,Old,126 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1113,1113,Single Family,0,0,Cheap,N,Syracuse,A,Old,109 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1114,1114,Two Family,0,0,Cheap,N,"Outside Syr, In NY",A,Very Old,115 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1115,1115,Vacant Land,68.52,0,Cheap,N,Syracuse,unknown,New,130 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1116,1116,Two Family,0,0,Cheap,N,"Outside Syr, In NY",A,Old,125 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1117,1117,Two Family,5040.11,3,Cheap,Y,Syracuse,I,Old,133 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1118,1118,Two Family,192.32,3,Cheap,N,Syracuse,A,Old,129 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1119,1119,Single Family,0,0,Cheap,N,Syracuse,A,Old,114 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1120,1120,Two Family,0,0,Cheap,N,Syracuse,A,Very Old,132 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1121,1121,Two Family,351.03,0,Cheap,N,Syracuse,A,Old,107 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1122,1122,Multiple Residence,3413.18,0,Cheap,N,Syracuse,A,New,137 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1123,1123,Two Family,0,0,Cheap,N,"Outside Syr, In NY",A,Very Old,105 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1124,1124,Two Family,0,0,Cheap,N,Syracuse,A,Old,117 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1125,1125,Two Family,2446,0,Cheap,N,Syracuse,A,Very Old,113 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1126,1126,Single Family,0,0,Cheap,N,Syracuse,A,Old,112 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1127,1127,Two Family,0,0,Cheap,N,"Outside Syr, In NY",A,Old,134 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1128,1128,Two Family,0,0,Cheap,N,Syracuse,A,Old,102 eureka st,4,0.804,0.196,0.714,0.09,0.156,0
1129,1129,Single Family,0,0,Cheap,N,Syracuse,A,New,115 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1130,1130,Two Family,0,0,Cheap,N,Syracuse,A,Old,159 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1131,1131,Single Family,0,3,Cheap,Y,Syracuse,I,Old,138 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1132,1132,Two Family,6850.89,5,Cheap,Y,Syracuse,I,Old,118 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1133,1133,Two Family,0,2,Cheap,Y,Outside NY,I,Old,114 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1134,1134,Two Family,0,11,Cheap,Y,Syracuse,A,Old,149 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1135,1135,Three Family,5307.03,2,Cheap,N,"Outside Syr, In NY",A,Old,122 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1136,1136,Vacant Land,0,0,Cheap,N,Syracuse,unknown,New,156 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1137,1137,Three Family,0,0,Cheap,N,Syracuse,A,Very Old,139 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1138,1138,Single Family,0,0,Cheap,N,Syracuse,A,Old,121 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1139,1139,Three Family,0,0,Cheap,N,Syracuse,A,Very Old,127 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1140,1140,Vacant Land,0,0,Cheap,N,Syracuse,unknown,New,148 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1141,1141,Vacant Land,0,0,Cheap,N,Syracuse,unknown,Old,171 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1142,1142,Single Family,30295.11,2,Cheap,Y,Outside NY,I,Old,100 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1143,1143,Single Family,6373.85,0,Cheap,N,"Outside Syr, In NY",A,Old,111 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1144,1144,Two Family,6263.28,0,Cheap,N,Syracuse,A,Old,152 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1145,1145,Single Family,0,0,Cheap,N,Syracuse,A,Very Old,180 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1146,1146,Single Family,39616.56,2,Cheap,Y,"Outside Syr, In NY",I,Old,135 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1147,1147,Single Family,836.93,0,Cheap,N,"Outside Syr, In NY",A,Old,128 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1148,1148,Single Family,0,2,Cheap,Y,Syracuse,I,Very Old,106 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1149,1149,Two Family,0,2,Cheap,Y,Syracuse,I,Old,153 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1150,1150,Two Family,0,0,Cheap,N,"Outside Syr, In NY",A,Very Old,144 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1151,1151,Two Family,0,0,Cheap,N,Syracuse,A,Very Old,163 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1152,1152,Single Family,0,0,Cheap,N,Syracuse,A,Very Old,110 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1153,1153,Single Family,1839.21,0,Cheap,N,Syracuse,A,Old,132 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1154,1154,Single Family,0,0,Cheap,N,Syracuse,A,Very Old,174 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1155,1155,Single Family,0,0,Cheap,N,Syracuse,A,Old,143 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1156,1156,Single Family,9944.68,0,Cheap,N,Syracuse,A,Old,142 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1157,1157,Vacant Land,91061.6,0,Cheap,N,Syracuse,unknown,Old,167 fage av,2,0.762,0.238,0.475,0.285,0.125,0
1158,1158,Single Family,0,0,Moderate,N,Syracuse,A,New,118 feigel av,1,0.833,0.167,0.834,0,0.069,0
1159,1159,Single Family,0,0,Moderate,N,Syracuse,A,Old,117 feigel av,1,0.833,0.167,0.834,0,0.069,0
1160,1160,Single Family,0,0,Moderate,N,Syracuse,A,Old,121 feigel av,1,0.833,0.167,0.834,0,0.069,0
1161,1161,Single Family,0,0,Moderate,N,Syracuse,A,Old,130 feigel av,1,0.833,0.167,0.834,0,0.069,0
1162,1162,Single Family,0,0,Cheap,N,Syracuse,A,Old,126 feigel av,1,0.833,0.167,0.834,0,0.069,0
1163,1163,Single Family,0,0,Moderate,N,Syracuse,A,Old,123 feigel av,1,0.833,0.167,0.834,0,0.069,0
1164,1164,Single Family,0,0,Cheap,N,Syracuse,A,Old,122 feigel av,1,0.833,0.167,0.834,0,0.069,0
1165,1165,Single Family,0,0,Moderate,Y,Syracuse,I,Old,115 feigel av,1,0.833,0.167,0.834,0,0.069,0
1166,1166,Single Family,0,0,Moderate,N,Syracuse,A,Old,129 feigel av,1,0.833,0.167,0.834,0,0.069,0
1167,1167,Single Family,0,0,Moderate,N,Syracuse,A,New,116 feigel av,1,0.833,0.167,0.834,0,0.069,0
1168,1168,Single Family,0,0,Cheap,N,Syracuse,A,Old,107 feigel av,1,0.833,0.167,0.834,0,0.069,0
1169,1169,Single Family,0,0,Moderate,N,Syracuse,A,Old,124 feigel av,1,0.833,0.167,0.834,0,0.069,0
1170,1170,Single Family,0,0,Moderate,N,Syracuse,A,Old,120 feigel av,1,0.833,0.167,0.834,0,0.069,0
1171,1171,Single Family,0,0,Cheap,N,Syracuse,A,Old,125 feigel av,1,0.833,0.167,0.834,0,0.069,0
1172,1172,Single Family,0,0,Moderate,N,Syracuse,A,Old,113 feigel av,1,0.833,0.167,0.834,0,0.069,0
1173,1173,Single Family,0,0,Moderate,Y,"Outside Syr, In NY",A,Old,111 feigel av,1,0.833,0.167,0.834,0,0.069,0
1174,1174,Single Family,0,0,Cheap,N,Outside NY,A,Old,166 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1175,1175,Two Family,0,0,Moderate,N,Syracuse,A,Old,178 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1176,1176,Two Family,0,0,Moderate,N,"Outside Syr, In NY",A,Old,174 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1177,1177,Two Family,0,0,Cheap,N,Syracuse,A,Old,180 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1178,1178,Two Family,0,0,Cheap,N,"Outside Syr, In NY",A,Old,158 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1179,1179,Two Family,0,0,Moderate,N,Outside NY,A,Old,170 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1180,1180,Single Family,0,0,Cheap,N,Syracuse,A,Old,127 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1181,1181,Single Family,1281.61,0,Cheap,N,Syracuse,A,Very Old,135 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1182,1182,Single Family,0,0,Moderate,N,Syracuse,A,Old,144 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1183,1183,Single Family,0,0,Moderate,N,Syracuse,A,Old,140 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1184,1184,Schools,0,0,Expensive,N,Syracuse,A,Old,157 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1185,1185,Single Family,0,0,Moderate,N,Syracuse,A,Old,124 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1186,1186,Single Family,0,0,Cheap,N,Syracuse,A,Old,162 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1187,1187,Single Family,0,0,Moderate,N,Syracuse,A,Old,131 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1188,1188,Vacant Land,6828.68,0,Cheap,N,Syracuse,unknown,New,112 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1189,1189,Two Family,0,0,Cheap,N,Syracuse,A,Very Old,147 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1190,1190,Single Family,0,0,Moderate,N,Syracuse,A,Old,119 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1191,1191,Two Family,0,0,Cheap,N,Syracuse,A,Old,139 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1192,1192,Two Family,0,0,Cheap,N,"Outside Syr, In NY",A,Old,154 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1193,1193,Single Family,0,2,Moderate,Y,"Outside Syr, In NY",I,Old,148 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1194,1194,Single Family,0,0,Cheap,N,Syracuse,A,Old,132 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1195,1195,Single Family,0,0,Cheap,N,Syracuse,A,Old,136 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1196,1196,Two Family,0,0,Moderate,N,"Outside Syr, In NY",A,Old,184 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1197,1197,Single Family,0,0,Cheap,N,Syracuse,A,Old,143 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1198,1198,Single Family,0,0,Moderate,N,Syracuse,A,Old,123 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1199,1199,Two Family,0,0,Cheap,N,Syracuse,A,Old,150 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1200,1200,Single Family,0,0,Moderate,N,Syracuse,A,Old,128 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1201,1201,Two Family,0,0,Moderate,N,Syracuse,A,Old,151 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1202,1202,Single Family,0,0,Cheap,N,Syracuse,A,Old,116 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
1203,1203,Single Family,826.56,0,Moderate,N,Syracuse,A,Old,115 fellows av,5,0.923,0.077,0.679,0.244,0.375,0
